x_um	field_Hz
8.967199999999999704e+01	1.000000000000000000e+00
9.069099999999998829e+01	1.000000000000000000e+00
9.170999999999999375e+01	1.000000000000000000e+00
9.272899999999998499e+01	1.000000000000000000e+00
9.374800000000000466e+01	1.000000000000000000e+00
9.476699999999999591e+01	1.000000000000000000e+00
9.578599999999998715e+01	1.000000000000000000e+00
9.680499999999999261e+01	1.000000000000000000e+00
9.782399999999998386e+01	1.000000000000000000e+00
9.884299999999998931e+01	1.000000000000000000e+00
9.986199999999998056e+01	1.000000000000000000e+00
1.008809999999999860e+02	1.000000000000000000e+00
1.018999999999999773e+02	1.000000000000000000e+00
1.029189999999999969e+02	1.000000000000000000e+00
1.039379999999999882e+02	1.000000000000000000e+00
1.049569999999999936e+02	1.000000000000000000e+00
1.059759999999999849e+02	1.000000000000000000e+00
1.069949999999999903e+02	1.000000000000000000e+00
1.080139999999999816e+02	1.000000000000000000e+00
1.090329999999999870e+02	1.000000000000000000e+00
1.100519999999999925e+02	1.000000000000000000e+00
1.110709999999999980e+02	1.000000000000000000e+00
1.120899999999999892e+02	1.000000000000000000e+00
1.131089999999999947e+02	1.000000000000000000e+00
1.141279999999999859e+02	1.000000000000000000e+00
1.151469999999999914e+02	1.000000000000000000e+00
1.161659999999999826e+02	1.000000000000000000e+00
1.171849999999999881e+02	1.000000000000000000e+00
1.182039999999999793e+02	1.000000000000000000e+00
1.192229999999999990e+02	1.000000000000000000e+00
1.202419999999999902e+02	1.000000000000000000e+00
1.212609999999999957e+02	1.000000000000000000e+00
1.222800000000000011e+02	1.000000000000000000e+00
1.232990000000000066e+02	1.000000000000000000e+00
1.243179999999999978e+02	1.000000000000000000e+00
1.253369999999999891e+02	1.000000000000000000e+00
1.263559999999999945e+02	1.000000000000000000e+00
1.273749999999999858e+02	1.000000000000000000e+00
1.283939999999999770e+02	1.000000000000000000e+00
1.294129999999999825e+02	1.000000000000000000e+00
1.304319999999999879e+02	1.000000000000000000e+00
1.314509999999999934e+02	1.000000000000000000e+00
1.324699999999999704e+02	1.000000000000000000e+00
1.334889999999999759e+02	1.000000000000000000e+00
1.345079999999999814e+02	1.000000000000000000e+00
1.355269999999999868e+02	1.000000000000000000e+00
1.365459999999999638e+02	1.000000000000000000e+00
1.375649999999999693e+02	1.000000000000000000e+00
1.385839999999999748e+02	1.000000000000000000e+00
1.396030000000000086e+02	1.000000000000000000e+00
1.406219999999999857e+02	1.000000000000000000e+00
1.416409999999999911e+02	1.000000000000000000e+00
1.426599999999999966e+02	1.000000000000000000e+00
1.436790000000000020e+02	1.000000000000000000e+00
1.446979999999999791e+02	1.000000000000000000e+00
1.457169999999999845e+02	1.000000000000000000e+00
1.467359999999999900e+02	1.000000000000000000e+00
1.477549999999999955e+02	1.000000000000000000e+00
1.487739999999999725e+02	1.000000000000000000e+00
1.497929999999999779e+02	1.000000000000000000e+00
1.508119999999999834e+02	1.000000000000000000e+00
1.518309999999999889e+02	1.000000000000000000e+00
1.528499999999999659e+02	1.000000000000000000e+00
1.538689999999999714e+02	1.000000000000000000e+00
1.548880000000000052e+02	1.000000000000000000e+00
1.559070000000000107e+02	1.000000000000000000e+00
1.569259999999999877e+02	1.000000000000000000e+00
1.579449999999999932e+02	1.000000000000000000e+00
1.589639999999999986e+02	1.000000000000000000e+00
1.599829999999999757e+02	1.000000000000000000e+00
1.610019999999999811e+02	1.000000000000000000e+00
1.620209999999999866e+02	1.000000000000000000e+00
1.630399999999999920e+02	1.000000000000000000e+00
1.640589999999999691e+02	1.000000000000000000e+00
1.650779999999999745e+02	1.000000000000000000e+00
1.660969999999999800e+02	1.000000000000000000e+00
1.671159999999999854e+02	1.000000000000000000e+00
1.681349999999999625e+02	1.000000000000000000e+00
1.691539999999999679e+02	1.000000000000000000e+00
1.701729999999999734e+02	1.000000000000000000e+00
1.711919999999999789e+02	1.000000000000000000e+00
1.722109999999999843e+02	1.000000000000000000e+00
1.732299999999999898e+02	1.000000000000000000e+00
