#x_um	profile_y
940.537000	0.511927
941.556000	0.512019
942.575000	0.510642
943.594000	0.508381
944.613000	0.506174
945.632000	0.504883
946.651000	0.504058
947.670000	0.502752
948.689000	0.501173
949.708000	0.500366
950.727000	0.500189
951.746000	0.499011
952.765000	0.496534
953.784000	0.494965
954.803000	0.496351
955.822000	0.501693
956.841000	0.510432
957.860000	0.520629
958.879000	0.529971
959.898000	0.536251
960.917000	0.538130
961.936000	0.536483
962.955000	0.534292
963.974000	0.534633
964.993000	0.538570
966.012000	0.544330
967.031000	0.549226
968.050000	0.552180
969.069000	0.553753
970.088000	0.555550
971.107000	0.558974
972.126000	0.564523
973.145000	0.571668
974.164000	0.579182
975.183000	0.585427
976.202000	0.589312
977.221000	0.591836
978.240000	0.595249
979.259000	0.600882
980.278000	0.608476
981.297000	0.616916
982.316000	0.624639
983.335000	0.630062
984.354000	0.631831
985.373000	0.629539
986.392000	0.624063
987.411000	0.616600
988.430000	0.608448
989.449000	0.601193
990.468000	0.596293
991.487000	0.595782
992.506000	0.601116
993.525000	0.610669
994.544000	0.620700
995.563000	0.627966
996.582000	0.630946
997.601000	0.630144
998.620000	0.627223
999.639000	0.622776
1000.658000	0.617164
1001.677000	0.611813
1002.696000	0.608296
1003.715000	0.607583
1004.734000	0.609268
1005.753000	0.612150
1006.772000	0.616047
1007.791000	0.621471
1008.810000	0.628359
1009.829000	0.636508
1010.848000	0.645921
1011.867000	0.655275
1012.886000	0.661336
1013.905000	0.661003
1014.924000	0.654720
1015.943000	0.647062
1016.962000	0.642998
1017.981000	0.646006
1019.000000	0.656301
1020.019000	0.668922
1021.038000	0.677287
1022.057000	0.678004
1023.076000	0.673336
1024.095000	0.668384
1025.114000	0.665333
1026.133000	0.664305
1027.152000	0.666163
1028.171000	0.671708
1029.190000	0.679556
1030.209000	0.687343
1031.228000	0.693444
1032.247000	0.697401
1033.266000	0.699907
1034.285000	0.701869
1035.304000	0.703598
1036.323000	0.705077
1037.342000	0.706107
1038.361000	0.705655
1039.380000	0.701969
1040.399000	0.694336
1041.418000	0.684752
1042.437000	0.676651
1043.456000	0.671875
1044.475000	0.669989
1045.494000	0.669912
1046.513000	0.671401
1047.532000	0.674278
1048.551000	0.677958
1049.570000	0.681842
1050.589000	0.684328
1051.608000	0.682535
1052.627000	0.675683
1053.646000	0.666253
1054.665000	0.657945
1055.684000	0.652870
1056.703000	0.650844
1057.722000	0.651059
1058.741000	0.653043
1059.760000	0.656386
1060.779000	0.660552
1061.798000	0.663855
1062.817000	0.663560
1063.836000	0.657836
1064.855000	0.647271
1065.874000	0.634433
1066.893000	0.622057
1067.912000	0.612208
1068.931000	0.606714
1069.950000	0.606692
1070.969000	0.611861
1071.988000	0.620828
1073.007000	0.631709
1074.026000	0.642337
1075.045000	0.650926
1076.064000	0.656351
1077.083000	0.658038
1078.102000	0.656240
1079.121000	0.651880
1080.140000	0.646689
1081.159000	0.643188
1082.178000	0.642724
1083.197000	0.644229
1084.216000	0.645531
1085.235000	0.645526
1086.254000	0.644979
1087.273000	0.644556
1088.292000	0.643652
1089.311000	0.641446
1090.330000	0.638032
1091.349000	0.634297
1092.368000	0.631676
1093.387000	0.631785
1094.406000	0.634923
1095.425000	0.639059
1096.444000	0.642153
1097.463000	0.642900
1098.482000	0.640795
1099.501000	0.637424
1100.520000	0.634767
1101.539000	0.633432
1102.558000	0.633476
1103.577000	0.635391
1104.596000	0.639056
1105.615000	0.643106
1106.634000	0.645487
1107.653000	0.644454
1108.672000	0.640299
1109.691000	0.634803
1110.710000	0.629401
1111.729000	0.624875
1112.748000	0.621445
1113.767000	0.618239
1114.786000	0.614749
1115.805000	0.610861
1116.824000	0.605783
1117.843000	0.599890
1118.862000	0.595176
1119.881000	0.593263
1120.900000	0.594175
1121.919000	0.596935
1122.938000	0.600278
1123.957000	0.603305
1124.976000	0.605755
1125.995000	0.607583
1127.014000	0.608540
1128.033000	0.608293
1129.052000	0.606569
1130.071000	0.603324
1131.090000	0.599042
1132.109000	0.594134
1133.128000	0.588394
1134.147000	0.581696
1135.166000	0.574592
1136.185000	0.568074
1137.204000	0.563772
1138.223000	0.562713
1139.242000	0.563702
1140.261000	0.564726
1141.280000	0.564591
1142.299000	0.563304
1143.318000	0.561575
1144.337000	0.560103
1145.356000	0.558449
1146.375000	0.555567
1147.394000	0.551101
1148.413000	0.545171
1149.432000	0.538207
1150.451000	0.530501
1151.470000	0.522542
1152.489000	0.516155
1153.508000	0.513305
1154.527000	0.514413
1155.546000	0.518344
1156.565000	0.523510
1157.584000	0.528261
1158.603000	0.531521
1159.622000	0.533062
1160.641000	0.532910
1161.660000	0.530969
1162.679000	0.527010
1163.698000	0.521022
1164.717000	0.513327
1165.736000	0.504213
1166.755000	0.494494
1167.774000	0.486142
1168.793000	0.482537
1169.812000	0.484774
1170.831000	0.488133
1171.850000	0.489017
1172.869000	0.488181
1173.888000	0.486740
1174.907000	0.484802
1175.926000	0.482209
1176.945000	0.478858
1177.964000	0.474720
1178.983000	0.469841
1180.002000	0.464326
1181.021000	0.458314
1182.040000	0.451980
1183.059000	0.445548
1184.078000	0.439322
1185.097000	0.433706
1186.116000	0.429188
1187.135000	0.426235
1188.154000	0.425163
1189.173000	0.426014
1190.192000	0.428521
1191.211000	0.428591
1192.230000	0.430888
1193.249000	0.436409
1194.268000	0.445091
