sample_idx,rel_param_dist,mae_counts_per_shot,rmse_counts_per_shot,flip_rate,total_shift_vs_baseline,total_defects,corrected_total,rejected_total,param__gaussian_sigma,param__derivative_threshold,param__derivative_threshold_pos,param__derivative_threshold_neg,param__peak_step_filter_enabled,param__peak_step_filter_window_px,param__peak_step_filter_min_abs_delta_m,param__min_same_sign_peak_distance_um,param__zero_crossing_min_distance_um,param__defect_position_hist_half_window_um
126,0.17252169771653675,0.6666666666666666,1.1547005383792515,0.37037037037037035,4,453,23,93,0.22981913171492116,0.0,0.040436527875064784,-0.033272004863670795,True,5,0.09822247937829383,6.063284996623661,3.0557805349717433,4.0
128,0.15365272468988567,0.6666666666666666,1.1547005383792515,0.37037037037037035,0,449,25,48,0.27085693469738326,0.0,0.0472835644095212,-0.040307080947355634,True,5,0.0794835693012963,6.353709019446778,2.982291700618192,4.0
97,0.20226591356984266,0.6666666666666666,1.2171612389003692,0.37037037037037035,-6,443,37,14,0.2968225017685864,0.0,0.05700047608193125,-0.044572840957933034,True,3,0.099395568012617,9.391283354476414,2.472626250723909,4.0
83,0.12529979732348606,0.6666666666666666,1.0886621079036347,0.4074074074074074,16,465,21,75,0.28118833626042783,0.0,0.03785579207317707,-0.03558127093554952,True,4,0.10306572133176528,6.782225618287895,2.75591313506663,4.0
251,0.21059952506256274,0.6666666666666666,1.0886621079036347,0.4074074074074074,8,457,42,43,0.43390980071847496,0.0,0.05836654690813407,-0.0311187883939103,True,3,0.09867839864491729,5.802690808661991,3.170976333596752,4.0
175,0.20927131576703545,0.6666666666666666,1.0540925533894598,0.4444444444444444,6,455,28,97,0.2554336799433845,0.0,0.03831338734088232,-0.03474972535013519,True,3,0.12359397299550084,7.9682277990230075,2.295829893873925,4.0
197,0.17475994249046198,0.6666666666666666,1.0540925533894598,0.4444444444444444,-16,433,61,44,0.365205569552203,0.0,0.06908903261573501,-0.03713297444098023,True,5,0.08868501262687867,6.286351962006941,3.321919992764978,4.0
174,0.1358105317093239,0.7037037037037037,1.3471506281091268,0.2962962962962963,19,468,32,36,0.2693927460422947,0.0,0.04869006051313823,-0.036023994535706844,True,4,0.08662613649110402,8.796345831385855,2.5658363558787043,4.0
71,0.20090196324429196,0.7037037037037037,1.1706281947614154,0.37037037037037035,11,460,36,18,0.20161972627926333,0.0,0.05441686667955138,-0.042707363558709105,True,4,0.07372049123810728,5.631090016225164,2.585599278909393,4.0
106,0.1607948446992315,0.7037037037037037,1.2018504251546631,0.37037037037037035,3,452,33,73,0.29821782160589944,0.0,0.048146952163662826,-0.03284899457238387,True,5,0.09566231993535333,8.052753698790767,2.1803492121485375,4.0
